ID,Player,Tm,FantPos,2023Age,2023G,2023HealthStatus,2023HealthStatus2,2023SeriousInjury,2024Age,2024G,2024HealthStatus,2024HealthStatus2,2024SeriousInjury,AvgSeasonGames,HealthGrade,2025Age,2025G,ModelProj.2025Games,PlayMoreThan14(AvgSeason),PredictedPlayMoreThan14,AdjustedRisk,RiskTier,Scale
6,Lamar Jackson,BAL,QB,26,16,0,Healthy,0,27,17,0,Healthy,0,15.0,88,28,17,17,1,1,0,Low,"1=Yes, 0=No"
21,Ja'Marr Chase,CIN,WR/TE,23,16,0,Healthy,0,24,17,0,Healthy,0,15.0,88,25,17,16,1,1,0,Low,
1,Josh Allen,BUF,QB,27,17,0,Healthy,0,28,17,0,Healthy,0,17.0,100,29,16,17,1,1,0,Low,
11,Joe Burrow,CIN,QB,27,10,2,Moderate Injuries,0,28,17,0,Healthy,0,14.0,82,29,17,17,0,0,3,Moderate,
26,Baker Mayfield,TAM,QB,28,17,0,Healthy,0,29,17,0,Healthy,0,15.0,88,30,17,17,1,1,0,Low,
16,Jayden Daniels,WAS,QB,22,NaN,0,Healthy,0,23,17,0,Healthy,0,17.0,100,24,17,17,1,1,0,Low,
42,Jahmyr Gibbs,DET,RB,21,15,1,Minor Injuries,0,22,17,0,Healthy,0,16.0,94,23,17,17,1,1,2,Minor,
43,Saquon Barkley,NYG,RB,26,14,1,Minor Injuries,0,27,16,0,Healthy,0,15.0,88,28,17,17,1,1,2,Minor,
25,Bijan Robinson,ATL,RB,21,17,0,Healthy,0,22,17,0,Healthy,0,17.0,100,23,17,17,1,1,0,Low,
19,Jared Goff,DET,QB,29,17,0,Healthy,0,30,17,0,Healthy,0,17.0,100,31,17,17,1,1,1,Low,
48,Derrick Henry,TEN,RB,29,17,0,Healthy,0,30,17,0,Healthy,0,17.0,100,31,17,16,1,1,1,Low,
235,Bo Nix,DEN,QB,23,NaN,0,Healthy,0,24,17,0,Healthy,0,17.0,100,25,17,17,1,1,0,Low,
4,Jalen Hurts,PHI,QB,25,17,0,Healthy,0,26,15,1,Minor Injuries,0,16.0,94,27,17,17,1,1,2,Minor,
236,Sam Darnold,SEA,QB,26,5,0,Healthy/Backup,0,27,17,0,Healthy,0,11.0,100,28,17,14,0,1,1,Low,
39,Justin Jefferson,MIN,WR/TE,24,10,2,Moderate Injuries,0,25,17,0,Healthy,0,15.0,88,26,17,17,1,1,3,Moderate,
8,Amon-Ra St. Brown,DET,WR/TE,24,16,0,Healthy,0,25,17,0,Healthy,0,16.0,94,26,17,17,1,1,0,Low,
12,Kyler Murray,ARI,QB,26,8,3,Major Injuries,1,27,17,0,Healthy,0,12.0,71,28,17,15,0,0,5,High,
72,De'Von Achane,MIA,RB,22,11,2,Moderate Injuries,0,23,17,0,Healthy,0,14.0,82,24,17,17,0,1,3,Moderate,
9,Patrick Mahomes II,KAN,QB,28,16,0,Healthy,0,29,16,0,Healthy,0,16.0,94,30,17,17,1,1,0,Low,
81,Josh Jacobs,LVR,RB,25,13,2,Moderate Injuries,0,26,17,0,Healthy,0,16.0,94,27,17,17,1,1,3,Moderate,
30,Justin Herbert,LAC,QB,25,13,2,Moderate Injuries,0,26,17,0,Healthy,0,16.0,94,27,17,17,1,0,3,Moderate,
112,Brian Thomas Jr.,JAC,WR/TE,20,NaN,0,Healthy,0,21,17,0,Healthy,0,17.0,100,22,17,16,1,1,0,Low,
45,Geno Smith,SEA,QB,33,15,1,Minor Injuries,0,34,17,0,Healthy,0,16.0,94,35,17,17,1,0,3,Moderate,
75,Drake London,ATL,WR/TE,22,16,0,Healthy,0,23,17,0,Healthy,0,17.0,100,24,17,17,1,1,0,Low,
14,Brock Purdy,SFO,QB,24,16,0,Healthy,0,25,15,1,Minor Injuries,0,15.5,91,26,17,17,1,1,2,Minor,
64,Malik Nabers,NYG,WR/TE,20,NaN,0,Healthy,0,21,15,1,Minor Injuries,0,15.0,88,22,17,16,1,1,2,Minor,
35,Kyren Williams,LAR,RB,23,12,2,Moderate Injuries,0,24,16,0,Healthy,0,13.0,76,25,17,17,0,0,4,High,
76,Terry McLaurin,WAS,WR/TE,28,17,0,Healthy,0,29,17,0,Healthy,0,17.0,100,30,17,17,1,1,0,Low,
237,Aaron Rodgers,FA,QB,40,0,4,Significant Injuries,1,41,17,0,Healthy,0,12.0,71,42,17,16,0,0,7,Significant,
56,James Cook,BUF,RB,24,17,0,Healthy,0,25,16,0,Healthy,0,16.0,94,26,16,17,1,1,0,Low,
55,Alvin Kamara,NOR,RB,28,13,2,Moderate Injuries,0,29,14,1,Minor Injuries,0,14.0,82,30,17,17,0,0,5,High,
3,CeeDee Lamb,DAL,WR/TE,24,17,0,Healthy,0,25,15,1,Minor Injuries,0,16.0,94,26,17,17,1,1,2,Minor,
129,Brock Bowers,LV,WR/TE,20,NaN,0,Healthy,0,21,17,0,Healthy,0,17.0,100,22,17,16,1,1,0,Low,
17,Caleb Williams,CHI,QB,21,NaN,0,Healthy,0,22,17,0,Healthy,0,17.0,100,23,17,17,1,1,0,Low,
176,Chase Brown,CIN,RB,23,12,2,Moderate Injuries,0,24,16,0,Healthy,0,14.0,82,25,17,17,0,0,3,Moderate,
88,James Conner,ARI,RB,28,13,2,Moderate Injuries,0,29,16,0,Healthy,0,14.0,82,30,17,15,0,1,3,Moderate,
121,Jaxon Smith-Njigba,SEA,WR/TE,21,17,0,Healthy,0,22,17,0,Healthy,0,17.0,100,23,17,17,1,1,0,Low,
52,Garrett Wilson,NYJ,WR/TE,23,17,0,Healthy,0,24,17,0,Healthy,0,17.0,100,25,17,17,1,1,0,Low,
90,Trey McBride,ARI,WR/TE,24,17,0,Healthy,0,25,16,0,Healthy,0,16.0,94,26,17,17,1,1,0,Low,
206,Bucky Irving,TB,RB,21,NaN,0,Healthy,0,22,17,0,Healthy,0,17.0,100,23,17,17,1,1,0,Low,
10,Jordan Love,GNB,QB,25,17,0,Healthy,0,26,15,1,Minor Injuries,0,16.0,94,27,17,17,1,1,2,Minor,
29,Jonathan Taylor,IND,RB,24,10,2,Moderate Injuries,0,25,14,1,Minor Injuries,0,12.0,71,26,17,16,0,0,6,Significant,
133,Chuba Hubbard,CAR,RB,24,17,0,Healthy,0,25,15,1,Minor Injuries,0,16.0,94,26,17,16,1,1,2,Minor,
116,Aaron Jones,GNB,RB,29,11,2,Moderate Injuries,0,30,17,0,Healthy,0,15.0,88,31,17,14,1,1,4,High,
31,Davante Adams,LVR,WR/TE,31,17,0,Healthy,0,32,14,1,Minor Injuries,0,16.0,94,33,17,15,1,0,3,Moderate,
13,Breece Hall,NYJ,RB,22,17,0,Healthy,0,23,16,0,Healthy,0,13.0,76,24,17,16,0,1,1,Low,
109,Ladd McConkey,LAC,WR/TE,21,NaN,0,Healthy,0,22,16,0,Healthy,0,16.0,100,23,17,16,1,1,0,Low,
128,Jerry Jeudy,DEN,WR/TE,24,16,0,Healthy,0,25,17,0,Healthy,0,16.0,94,26,17,17,1,1,0,Low,
41,Joe Mixon,CIN,RB,27,17,0,Healthy,0,28,14,1,Minor Injuries,0,15.0,88,29,17,14,1,1,2,Minor,
28,Mike Evans,TAM,WR/TE,30,17,0,Healthy,0,31,14,1,Minor Injuries,0,15.0,88,32,17,15,1,1,3,Moderate,
97,Courtland Sutton,DEN,WR/TE,28,16,0,Healthy,0,29,17,0,Healthy,0,16.0,94,30,17,17,1,1,0,Low,
33,DJ Moore,CHI,WR/TE,26,17,0,Healthy,0,27,17,0,Healthy,0,17.0,100,28,17,17,1,1,0,Low,
87,George Kittle,SFO,WR/TE,30,16,0,Healthy,0,30,15,1,Minor Injuries,0,15.0,88,31,17,16,1,1,3,Moderate,
15,C.J. Stroud,HOU,QB,22,15,1,Minor Injuries,0,23,17,0,Healthy,0,16.0,94,24,17,16,1,1,2,Minor,
85,David Montgomery,DET,RB,26,14,1,Minor Injuries,0,27,14,1,Minor Injuries,0,15.0,88,28,17,17,1,1,4,High,
32,Matthew Stafford,LAR,QB,35,15,1,Minor Injuries,0,36,16,0,Healthy,0,13.0,76,37,17,17,0,1,4,High,
171,Jonnu Smith,ATL,WR/TE,28,17,0,Healthy,0,29,17,0,Healthy,0,16.0,94,30,17,17,1,1,0,Low,
108,Tee Higgins,CIN,WR/TE,24,12,2,Moderate Injuries,0,25,12,2,Moderate Injuries,0,13.0,76,26,17,17,0,0,7,Significant,
5,Tyreek Hill,MIA,WR/TE,29,16,0,Healthy,0,30,17,0,Healthy,0,16.5,97,31,17,17,1,1,1,Low,
89,Jakobi Meyers,LVR,WR/TE,27,16,0,Healthy,0,28,15,1,Minor Injuries,0,15.0,88,29,17,17,1,1,2,Minor,
20,A.J. Brown,PHI,WR/TE,26,17,0,Healthy,0,27,13,2,Moderate Injuries,0,16.0,94,28,17,17,1,1,3,Moderate,
93,D'Andre Swift,PHI,RB,24,16,0,Healthy,0,25,17,0,Healthy,0,16.0,94,26,17,17,1,1,0,Low,
82,Jordan Addison,MIN,WR/TE,21,17,0,Healthy,0,22,15,1,Minor Injuries,0,16.0,94,23,17,16,1,1,2,Minor,
154,Jameson Williams,DET,WR/TE,22,12,2,Moderate Injuries,0,23,15,1,Minor Injuries,0,13.5,79,24,17,13,0,1,6,Significant,
37,Nico Collins,HOU,WR/TE,24,15,1,Minor Injuries,0,25,12,2,Moderate Injuries,0,13.5,79,26,17,17,0,0,6,Significant,
68,Zay Flowers,BAL,WR/TE,23,16,0,Healthy,0,24,17,0,Healthy,0,17.0,100,25,17,17,1,1,0,Low,
18,Puka Nacua,LAR,WR/TE,22,17,0,Healthy,0,23,11,2,Moderate Injuries,0,14.0,82,24,17,17,0,0,3,Moderate,
91,Najee Harris,PIT,RB,25,17,0,Healthy,0,26,17,0,Healthy,0,17.0,100,27,17,17,1,1,0,Low,
92,Bryce Young,CAR,QB,22,16,0,Healthy,0,23,14,1,Minor Injuries,0,15.0,88,24,17,17,1,0,2,Minor,
84,Tony Pollard,DAL,RB,26,17,0,Healthy,0,27,16,0,Healthy,0,16.0,94,28,17,17,1,1,0,Low,
34,Rachaad White,TAM,RB,24,17,0,Healthy,0,25,16,0,Healthy,0,17.0,100,26,17,17,1,1,0,Low,
57,DeVonta Smith,PHI,WR/TE,25,16,0,Healthy,0,26,13,2,Moderate Injuries,0,15.0,88,27,17,16,1,1,3,Moderate,
65,Calvin Ridley,JAX,WR/TE,29,17,0,Healthy,0,30,17,0,Healthy,0,17.0,100,31,17,16,1,1,1,Low,
177,Rico Dowdle,DAL,RB,25,16,0,Healthy,0,26,16,0,Healthy,0,16.0,94,27,17,17,1,1,0,Low,
78,Jayden Reed,GNB,WR/TE,23,16,0,Healthy,0,24,17,0,Healthy,0,17.0,100,25,17,17,1,1,0,Low,
44,Marvin Harrison Jr.,ARI,WR/TE,21,NaN,0,Healthy,0,22,17,0,Healthy,0,17.0,100,23,17,17,1,1,0,Low,
60,Travis Kelce,KAN,WR/TE,34,15,1,Minor Injuries,0,35,16,0,Healthy,0,16.0,94,36,17,17,1,0,3,Moderate,
163,Darnell Mooney,CHI,WR/TE,26,15,1,Minor Injuries,0,27,16,0,Healthy,0,14.0,82,28,17,17,0,1,2,Minor,
74,Kirk Cousins,MIN,QB,35,8,3,Major Injuries,1,36,14,1,Minor Injuries,0,13.0,76,37,10,16,0,0,8,Significant,
59,DK Metcalf,SEA,WR/TE,26,16,0,Healthy,0,26,15,1,Minor Injuries,0,16.0,94,27,17,17,1,1,2,Minor,
83,Mark Andrews,BAL,WR/TE,28,10,2,Moderate Injuries,0,29,17,0,Healthy,0,14.0,82,30,17,15,0,1,3,Moderate,
24,Tua Tagovailoa,MIA,QB,25,17,0,Healthy,0,26,11,2,Moderate Injuries,0,14.0,82,27,17,17,0,0,3,Moderate,
158,Zach Charbonnet,SEA,RB,22,16,0,Healthy,0,23,17,0,Healthy,0,17.0,100,24,17,17,1,1,0,Low,
111,Xavier Worthy,KC,WR/TE,22,NaN,0,Healthy,0,23,17,0,Healthy,0,17.0,100,24,17,17,1,1,0,Low,
102,Drake Maye,NE,QB,20,NaN,0,Healthy,0,21,14,0,Healthy,0,14.0,100,22,17,17,0,1,0,Low,
50,Keenan Allen,LAC,WR/TE,31,13,2,Moderate Injuries,0,32,15,1,Minor Injuries,0,13.0,76,33,15,16,0,1,7,Significant,
137,Josh Downs,IND,WR/TE,22,17,0,Healthy,0,23,14,1,Minor Injuries,0,16.0,94,24,17,17,1,1,2,Minor,
143,Wan'Dale Robinson,NYG,WR/TE,22,15,1,Minor Injuries,0,23,17,0,Healthy,0,13.0,76,24,17,17,0,1,3,Moderate,
142,Khalil Shakir,BUF,WR/TE,23,17,0,Healthy,0,24,15,1,Minor Injuries,0,15.0,88,25,16,16,1,1,2,Minor,
209,Tyrone Tracy Jr.,NYG,RB,22,NaN,0,Healthy,0,23,17,0,Healthy,0,17.0,100,24,17,17,1,1,0,Low,
79,Kenneth Walker III,SEA,RB,23,15,1,Minor Injuries,0,24,11,2,Moderate Injuries,0,14.0,82,25,17,16,0,0,5,High,
53,Russell Wilson,DEN,QB,35,15,1,Minor Injuries,0,36,11,2,Moderate Injuries,0,14.0,82,37,17,15,0,0,6,Significant,
274,Zach Ertz,,WR/TE,32,7,3,Major Injuries,1,33,17,0,Healthy,0,12.0,71,34,17,16,0,0,6,Significant,
114,Rhamondre Stevenson,,RB,25,12,2,Moderate Injuries,0,26,15,1,Minor Injuries,0,15.0,88,27,17,17,1,0,5,High,
22,Anthony Richardson,,QB,21,4,4,Significant Injuries,1,22,11,2,Moderate Injuries,0,8.0,47,23,17,13,0,0,9,Significant,
66,Cooper Kupp,,WR/TE,30,12,2,Moderate Injuries,0,31,12,2,Moderate Injuries,0,11.0,65,32,17,17,0,0,8,Significant,
182,Quentin Johnston,,WR/TE,22,17,0,Healthy,0,23,15,1,Minor Injuries,0,16.0,94,24,17,16,1,1,2,Minor,
58,Sam LaPorta,,WR/TE,22,17,0,Healthy,0,23,16,0,Healthy,0,16.5,97,24,17,17,1,1,0,Low,
181,Rashod Bateman,,WR/TE,24,16,0,Healthy,0,25,17,0,Healthy,0,13.0,76,26,17,17,0,1,1,Low,
169,Pat Freiermuth,,WR/TE,25,12,2,Moderate Injuries,0,26,17,0,Healthy,0,15.0,88,27,17,15,1,1,3,Moderate,
47,Michael Pittman Jr.,,WR/TE,26,16,0,Healthy,0,27,16,0,Healthy,0,16.0,94,28,17,17,1,1,0,Low,
70,George Pickens,,WR/TE,22,17,0,Healthy,0,23,14,1,Minor Injuries,0,16.0,94,24,17,17,1,1,2,Minor,
201,Tucker Kraft,,WR/TE,23,17,0,Healthy,0,24,17,0,Healthy,0,17.0,100,25,17,16,1,1,0,Low,
200,Alec Pierce,,WR/TE,23,17,0,Healthy,0,24,16,0,Healthy,0,16.0,94,25,17,17,1,1,0,Low,
98,Brian Robinson Jr.,,RB,24,15,1,Minor Injuries,0,25,14,1,Minor Injuries,0,14.0,82,26,17,17,0,1,4,High,
103,Javonte Williams,,RB,23,16,0,Healthy,0,24,17,0,Healthy,0,12.0,71,25,17,17,0,1,1,Low,
264,Kareem Hunt,,RB,28,14,0,Healthy/Backup,0,29,10,0,Healthy/Backup,0,12.0,71,30,17,15,0,0,3,Moderate,
54,Deebo Samuel Sr.,,WR/TE,27,15,1,Minor Injuries,0,28,15,1,Minor Injuries,0,15.0,88,29,17,16,1,1,4,High,
23,Trevor Lawrence,,QB,24,16,0,Healthy,0,25,10,2,Moderate Injuries,0,14.0,82,26,17,17,0,0,3,Moderate,
246,Jalen Tolbert,,WR/TE,23,17,0,Healthy,0,25,17,0,Healthy,0,17.0,100,26,17,17,1,1,0,Low,
67,Jaylen Waddle,,WR/TE,25,14,1,Minor Injuries,0,26,16,0,Healthy,0,15.0,88,27,17,17,1,1,2,Minor,
94,David Njoku,,WR/TE,27,16,0,Healthy,0,28,11,2,Moderate Injuries,0,14.0,82,29,17,17,0,0,3,Moderate,
146,Demario Douglas,,WR/TE,23,14,1,Minor Injuries,0,24,17,0,Healthy,0,16.0,94,25,17,17,1,1,2,Minor,
80,DeAndre Hopkins,,WR/TE,31,17,0,Healthy,0,32,16,0,Healthy,0,14.0,82,33,17,16,0,1,1,Low,
155,Hunter Henry,,WR/TE,29,14,1,Minor Injuries,0,29,16,0,Healthy,0,16.0,94,30,17,17,1,1,2,Minor,
239,Rome Odunze,,WR/TE,21,NaN,0,Healthy,0,22,17,0,Healthy,0,17.0,100,23,17,17,1,1,0,Low,
40,Daniel Jones,,QB,26,6,3,Major Injuries,1,27,10,0,Healthy/Backup,0,14.0,82,28,17,15,0,0,5,High,
208,Mike Gesicki,,WR/TE,28,17,0,Healthy,0,29,17,0,Healthy,0,17.0,100,30,17,17,1,1,0,Low,
253,Ray-Ray McCloud,,WR/TE,27,12,2,Moderate Injuries,0,28,17,0,Healthy,0,14.5,85,29,17,17,1,0,3,Moderate,
157,Cade Otton,,WR/TE,24,17,0,Healthy,0,25,14,1,Minor Injuries,0,16.0,94,26,17,17,1,1,2,Minor,
77,Tank Dell,,WR/TE,24,11,2,Moderate Injuries,0,25,14,1,Minor Injuries,0,13.0,76,26,0,17,0,0,6,Significant,
86,Adam Thielen,,WR/TE,33,17,0,Healthy,0,34,10,2,Moderate Injuries,0,14.0,82,35,17,17,0,0,4,High,
69,Chris Godwin,,WR/TE,27,17,0,Healthy,0,28,7,3,Major Injuries,1,13.0,76,29,17,16,0,0,5,High,
173,Alexander Mattison,,RB,25,16,0,Healthy,0,26,14,1,Minor Injuries,0,16.0,94,27,12,17,1,1,2,Minor,
240,Nick Westbrook-Ikhine,,WR/TE,26,14,1,Minor Injuries,0,27,17,0,Healthy,0,16.0,94,28,17,17,1,1,2,Minor,
170,Jalen McMillan,,WR/TE,21,NaN,0,Healthy,0,22,13,0,Healthy,0,13.0,100,23,17,17,0,1,0,Low,
107,Jerome Ford,,RB,24,17,0,Healthy,0,25,14,1,Minor Injuries,0,15.0,88,26,17,17,1,1,2,Minor,
106,Austin Ekeler,,RB,28,14,1,Minor Injuries,0,29,12,2,Moderate Injuries,0,14.0,82,30,17,16,0,0,5,High,
120,Romeo Doubs,,WR/TE,23,17,0,Healthy,0,24,13,2,Moderate Injuries,0,14.0,82,25,17,17,0,1,3,Moderate,
38,Will Levis,,QB,24,9,0,Healthy/Backup,0,25,12,0,Healthy/Backup,0,11.0,100,26,10,17,0,0,2,Minor,
124,Kyle Pitts,,WR/TE,23,17,0,Healthy,0,24,17,0,Healthy,0,15.0,100,25,17,16,1,1,0,Low,
27,Travis Etienne Jr.,,RB,24,17,0,Healthy,0,34,15,1,Minor Injuries,0,16.0,94,35,17,15,1,1,3,Moderate,
250,Tre Tucker,,WR/TE,22,16,0,Healthy,0,23,17,0,Healthy,0,17.0,100,24,17,17,1,1,0,Low,
194,Marvin Mims Jr.,,WR/TE,21,16,0,Healthy,0,22,17,0,Healthy,0,16.5,97,23,17,17,1,1,0,Low,
269,Tank Bigsby,,RB,22,16,0,Healthy,0,23,17,0,Healthy,0,16.5,97,24,17,17,1,1,0,Low,
198,Justice Hill,,RB,26,16,0,Healthy,0,27,15,1,Minor Injuries,0,15.0,88,28,17,17,1,1,2,Minor,
249,Xavier Legette,,WR/TE,22,NaN,0,Healthy,0,23,16,0,Healthy,0,16.0,100,24,17,16,1,1,0,Low,
7,Dak Prescott,,QB,30,17,0,Healthy,0,31,8,3,Major Injuries,1,12.0,71,32,17,14,0,0,6,Significant,
95,Jaylen Warren,,RB,25,17,0,Healthy,0,26,15,1,Minor Injuries,0,16.0,94,27,17,15,1,1,2,Minor,
