Player,FantPos,PlayMoreThan14,PredictedPlayMoreThan14,AdjustedRisk,RiskTier
Jahmyr Gibbs,RB,1,1,1,Low
Saquon Barkley,RB,1,1,1,Low
Bijan Robinson,RB,1,1,0,Low
Derrick Henry,RB,1,1,1,Low
De'Von Achane,RB,0,1,2,Minor
Josh Jacobs,RB,1,1,2,Minor
Kyren Williams,RB,0,0,3,Moderate
James Cook,RB,1,1,0,Low
Alvin Kamara,RB,0,0,3,Moderate
Chase Brown,RB,0,0,2,Minor
James Conner,RB,0,1,2,Minor
Bucky Irving,RB,1,1,0,Low
Jonathan Taylor,RB,0,0,4,High
Chuba Hubbard,RB,1,1,1,Low
Aaron Jones,RB,1,1,3,Moderate
Breece Hall,RB,0,1,1,Low
Joe Mixon,RB,1,1,1,Low
David Montgomery,RB,1,1,2,Minor
D'Andre Swift,RB,1,1,0,Low
Najee Harris,RB,1,1,0,Low
Tony Pollard,RB,1,1,0,Low
Rachaad White,RB,1,1,0,Low
Rico Dowdle,RB,1,1,0,Low
Zach Charbonnet,RB,1,1,0,Low
Tyrone Tracy Jr.,RB,1,1,0,Low
Kenneth Walker III,RB,0,0,3,Moderate
Rhamondre Stevenson,RB,1,0,3,Moderate
Brian Robinson Jr.,RB,0,1,2,Minor
Javonte Williams,RB,0,1,1,Low
Kareem Hunt,RB,0,0,1,Low
Alexander Mattison,RB,1,1,1,Low
Jerome Ford,RB,1,1,1,Low
Austin Ekeler,RB,0,0,3,Moderate
Travis Etienne Jr.,RB,1,1,2,Minor
Tank Bigsby,RB,1,1,0,Low
Justice Hill,RB,1,1,1,Low
Jaylen Warren,RB,1,1,1,Low
Ray Davis,RB,1,0,0,Low
Jordan Mason,RB,1,1,1,Low
Tyjae Spears,RB,1,0,2,Minor
Tyler Allgeier,RB,1,1,0,Low
Antonio Gibson,RB,1,1,0,Low
Jaleel McLaughlin,RB,1,1,0,Low
Devin Singletary,RB,1,1,0,Low
Isaac Guerendo,RB,0,0,0,Low
Ty Johnson,RB,0,1,0,Low
Braelon Allen,RB,1,1,0,Low
Zack Moss,RB,0,0,5,High
Samaje Perine,RB,1,1,0,Low
Miles Sanders,RB,1,0,2,Minor
Roschon Johnson,RB,1,0,3,Moderate
Raheem Mostert,RB,1,0,4,High
Gus Edwards,RB,0,1,3,Moderate
Kenneth Gainwell,RB,1,1,0,Low
Ezekiel Elliott,RB,1,1,1,Low
Isiah Pacheco,RB,0,0,5,High
Emari Demercado,RB,0,0,3,Moderate
Audric Estime,RB,0,0,3,Moderate
Christian McCaffrey,RB,0,0,5,High
Trey Benson,RB,0,0,3,Moderate
Dameon Pierce,RB,0,0,4,High
Jamaal Williams,RB,1,0,2,Minor
Blake Corum,RB,1,1,1,Low
D'Onta Foreman,RB,0,0,3,Moderate
Khalil Herbert,RB,0,0,5,High
Zamir White,RB,0,0,4,High
Kendre Miller,RB,0,0,3,Moderate
Ty Chandler,RB,0,1,0,Low
Jaylen Wright,RB,0,0,3,Moderate
Carson Steele,RB,0,1,0,Low
Clyde Edwards-Helaire,RB,0,0,5,High
Keaton Mitchell,RB,0,0,6,Significant
MarShawn Lloyd,RB,0,0,2,Minor
Ashton Jeanty,RB,1,1,0,Low
RJ Harvey,RB,1,1,0,Low
TreVeyon Henderson,RB,1,1,0,Low
Omarion Hampton,RB,1,1,0,Low
Quinshon Judkins,RB,1,1,0,Low
Bhayshul Tuten,RB,1,1,0,Low
Kaleb Johnson,RB,1,1,0,Low
Cam Skattebo,RB,1,1,0,Low
Jaydon Blue,RB,1,1,0,Low
Dylan Sampson,RB,1,1,0,Low
Woody Marks,RB,1,1,0,Low
Trevor Etienne,RB,1,1,0,Low
AJ Dillon,RB,0,0,5,High
Elijah Mitchell,RB,0,0,7,Significant
Chase Edmonds,RB,0,0,5,High
Ja'Marr Chase,WR/TE,1,1,0,Low
Justin Jefferson,WR/TE,1,1,2,Minor
Amon-Ra St. Brown,WR/TE,1,1,0,Low
Brian Thomas Jr.,WR/TE,1,1,0,Low
Drake London,WR/TE,1,1,0,Low
Malik Nabers,WR/TE,1,1,1,Low
Terry McLaurin,WR/TE,1,1,0,Low
CeeDee Lamb,WR/TE,1,1,1,Low
Brock Bowers,WR/TE,1,1,0,Low
Jaxon Smith-Njigba,WR/TE,1,1,0,Low
Garrett Wilson,WR/TE,1,1,0,Low
Trey McBride,WR/TE,1,1,0,Low
Davante Adams,WR/TE,1,0,2,Minor
Ladd McConkey,WR/TE,1,1,0,Low
Jerry Jeudy,WR/TE,1,1,0,Low
Mike Evans,WR/TE,1,1,2,Minor
Courtland Sutton,WR/TE,1,1,0,Low
DJ Moore,WR/TE,1,1,0,Low
George Kittle,WR/TE,1,1,2,Minor
Jonnu Smith,WR/TE,1,1,0,Low
Tee Higgins,WR/TE,0,0,5,High
Tyreek Hill,WR/TE,1,1,1,Low
Jakobi Meyers,WR/TE,1,1,1,Low
A.J. Brown,WR/TE,1,1,2,Minor
Jordan Addison,WR/TE,1,1,1,Low
Jameson Williams,WR/TE,0,0,4,High
Nico Collins,WR/TE,0,0,4,High
Zay Flowers,WR/TE,1,1,0,Low
Puka Nacua,WR/TE,0,0,2,Minor
DeVonta Smith,WR/TE,1,1,2,Minor
Calvin Ridley,WR/TE,1,1,1,Low
Jayden Reed,WR/TE,1,1,0,Low
Marvin Harrison Jr.,WR/TE,1,1,0,Low
Travis Kelce,WR/TE,1,0,2,Minor
Darnell Mooney,WR/TE,0,1,1,Low
DK Metcalf,WR/TE,1,1,1,Low
Mark Andrews,WR/TE,0,1,2,Minor
Xavier Worthy,WR/TE,1,1,0,Low
Keenan Allen,WR/TE,0,0,5,High
Josh Downs,WR/TE,1,1,1,Low
Wan'Dale Robinson,WR/TE,0,1,2,Minor
Khalil Shakir,WR/TE,1,1,1,Low
Zach Ertz,WR/TE,0,0,5,High
Cooper Kupp,WR/TE,0,0,6,Significant
Quentin Johnston,WR/TE,1,1,1,Low
Sam LaPorta,WR/TE,1,1,0,Low
Rashod Bateman,WR/TE,0,1,1,Low
Pat Freiermuth,WR/TE,1,1,2,Minor
Michael Pittman Jr.,WR/TE,1,1,0,Low
George Pickens,WR/TE,1,1,1,Low
Tucker Kraft,WR/TE,1,1,0,Low
Alec Pierce,WR/TE,1,1,0,Low
Deebo Samuel Sr.,WR/TE,1,1,2,Minor
Jalen Tolbert,WR/TE,1,1,0,Low
Jaylen Waddle,WR/TE,1,1,1,Low
David Njoku,WR/TE,0,0,2,Minor
Demario Douglas,WR/TE,1,1,1,Low
DeAndre Hopkins,WR/TE,0,1,1,Low
Hunter Henry,WR/TE,1,1,1,Low
Rome Odunze,WR/TE,1,1,0,Low
Mike Gesicki,WR/TE,1,1,0,Low
Ray-Ray McCloud,WR/TE,1,1,2,Minor
Cade Otton,WR/TE,1,1,1,Low
Tank Dell,WR/TE,0,0,5,Significant
Adam Thielen,WR/TE,0,0,3,Moderate
Chris Godwin,WR/TE,0,0,4,High
Nick Westbrook-Ikhine,WR/TE,1,1,1,Low
Jalen McMillan,WR/TE,0,1,0,Low
Romeo Doubs,WR/TE,0,1,2,Minor
Kyle Pitts,WR/TE,1,1,0,Low
Tre Tucker,WR/TE,1,1,0,Low
Marvin Mims Jr.,WR/TE,1,1,0,Low
Xavier Legette,WR/TE,1,1,0,Low
Michael Wilson,WR/TE,1,1,2,Minor
Isaiah Likely,WR/TE,1,1,0,Low
Demarcus Robinson,WR/TE,1,1,1,Low
Juwan Johnson,WR/TE,1,1,2,Minor
Amari Cooper,WR/TE,1,1,3,Moderate
Stefon Diggs,WR/TE,0,0,4,High
Tyler Conklin,WR/TE,1,1,0,Low
Kayshon Boutte,WR/TE,1,1,1,Low
Tyler Lockett,WR/TE,1,0,1,Low
Elijah Moore,WR/TE,1,1,0,Low
Cole Kmet,WR/TE,1,1,0,Low
Andrei Iosivas,WR/TE,1,1,0,Low
Dalton Schultz,WR/TE,1,1,1,Low
Chigoziem Okonkwo,WR/TE,1,1,0,Low
Noah Gray,WR/TE,1,1,0,Low
Calvin Austin III,WR/TE,1,1,0,Low
Keon Coleman,WR/TE,0,0,2,Minor
Dontayvion Wicks,WR/TE,1,0,1,Low
Darius Slayton,WR/TE,1,1,0,Low
Joshua Palmer,WR/TE,1,1,1,Low
Christian Watson,WR/TE,0,0,5,High
Jake Ferguson,WR/TE,1,1,1,Low
Noah Fant,WR/TE,1,1,1,Low
Dallas Goedert,WR/TE,0,0,4,High
Taysom Hill,WR/TE,0,0,5,High
Dalton Kincaid,WR/TE,1,1,2,Minor
Tutu Atwell,WR/TE,1,1,0,Low
Ricky Pearsall,WR/TE,0,0,2,Minor
Jalen Coker,WR/TE,0,0,0,Low
Tim Patrick,WR/TE,1,1,0,Low
Brenton Strange,WR/TE,1,1,1,Low
Evan Engram,WR/TE,0,0,3,Moderate
Diontae Johnson,WR/TE,0,0,4,High
T.J. Hockenson,WR/TE,0,0,3,Moderate
Noah Brown,WR/TE,0,0,5,High
Cedric Tillman,WR/TE,0,1,1,Low
Rashid Shaheed,WR/TE,0,0,5,High
Tyler Boyd,WR/TE,1,1,1,Low
Chris Olave,WR/TE,0,0,4,High
Ja'Tavion Sanders,WR/TE,1,1,0,Low
Christian Kirk,WR/TE,0,0,6,Significant
Brandin Cooks,WR/TE,0,0,4,High
Theo Johnson,WR/TE,0,0,3,Moderate
Colby Parkinson,WR/TE,1,1,0,Low
Kendrick Bourne,WR/TE,0,0,6,Significant
Rashee Rice,WR/TE,0,0,5,High
Curtis Samuel,WR/TE,1,1,1,Low
Brandon Aiyuk,WR/TE,0,0,4,High
Dawson Knox,WR/TE,0,1,2,Minor
Mike Williams,WR/TE,0,0,6,Significant
Kalif Raymond,WR/TE,1,0,3,Moderate
Tommy Tremble,WR/TE,1,0,2,Minor
Gabe Davis,WR/TE,0,0,2,Minor
Adonai Mitchell,WR/TE,1,1,0,Low
Nelson Agholor,WR/TE,1,1,2,Minor
Jahan Dotson,WR/TE,1,1,0,Low
Tanner Hudson,WR/TE,0,0,1,Low
Josh Reynolds,WR/TE,0,0,3,Moderate
Michael Mayer,WR/TE,0,0,4,High
Trey Palmer,WR/TE,1,1,1,Low
Ja'Lynn Polk,WR/TE,1,1,1,Low
Kylen Granson,WR/TE,1,1,1,Low
Tyler Higbee,WR/TE,0,0,7,Significant
Daniel Bellinger,WR/TE,1,1,0,Low
K.J. Osborn,WR/TE,0,0,3,Moderate
Marquise Brown,WR/TE,0,0,6,Significant
Ben Sinnott,WR/TE,1,1,0,Low
DJ Chark,WR/TE,0,0,5,High
Gerald Everett,WR/TE,1,1,2,Minor
Luke Musgrave,WR/TE,0,0,6,Significant
Jaheim Bell,WR/TE,1,1,1,Low
Tyler Warren,WR/TE,1,1,0,Low
Colston Loveland,WR/TE,1,1,0,Low
Travis Hunter,WR/TE,1,1,0,Low
Tetairoa McMillan,WR/TE,1,1,0,Low
Matthew Golden,WR/TE,1,1,0,Low
Jack Bech,WR/TE,1,1,0,Low
Emeka Egbuka,WR/TE,1,1,0,Low
Luther Burden III,WR/TE,1,1,0,Low
Jayden Higgins,WR/TE,1,1,0,Low
Jaylin Noel,WR/TE,1,1,0,Low
Rondale Moore,WR/TE,0,0,5,High
Lamar Jackson,QB,1,1,0,Low
Josh Allen,QB,1,1,0,Low
Joe Burrow,QB,0,0,2,Minor
Baker Mayfield,QB,1,1,0,Low
Jayden Daniels,QB,1,0,0,Low
Jared Goff,QB,1,1,1,Low
Bo Nix,QB,1,0,0,Low
Jalen Hurts,QB,1,1,1,Low
Sam Darnold,QB,0,1,0,Low
Kyler Murray,QB,0,0,4,High
Patrick Mahomes II,QB,1,1,0,Low
Justin Herbert,QB,1,0,2,Minor
Geno Smith,QB,1,0,2,Minor
Brock Purdy,QB,1,1,1,Low
Aaron Rodgers,QB,0,0,6,Significant
Caleb Williams,QB,1,0,0,Low
Jordan Love,QB,1,1,1,Low
C.J. Stroud,QB,1,1,1,Low
Matthew Stafford,QB,0,1,3,Moderate
Bryce Young,QB,1,1,1,Low
Kirk Cousins,QB,0,0,6,Significant
Tua Tagovailoa,QB,0,0,2,Minor
Drake Maye,QB,0,1,0,Low
Russell Wilson,QB,0,0,4,High
Anthony Richardson,QB,0,0,7,Significant
Trevor Lawrence,QB,0,0,2,Minor
Daniel Jones,QB,0,0,3,Moderate
Will Levis,QB,0,0,0,Low
Dak Prescott,QB,0,0,5,High
Justin Fields,QB,0,0,2,Minor
Aidan O'Connell,QB,0,0,0,Low
Drew Lock,QB,0,0,0,Low
Deshaun Watson,QB,0,0,7,Significant
Michael Penix Jr.,QB,0,0,0,Low
Sam Howell,QB,0,1,0,Low
J.J. McCarthy,QB,1,1,4,High
Cam Ward,QB,1,1,0,Low
Tyler Shough,QB,1,0,0,Low
